consumerTaskId,readOccurrenceId,table,before,after,reason
"158480","task:158480:statement:0:relation:root.(child-15).setop.b0.setop.b0.setop.b0.setop.b1.read.a","dm_index_n.index_grp3_cust_prd_emp_income_nwsincome_aumdevrela_tdy","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"158480","task:158480:statement:0:relation:root.(child-6).setop.b0.setop.b0.setop.b0.setop.b1.read.a","dm_index_n.index_grp3_cust_prd_emp_income_nwsincome_aumdevrela_tdy","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"158972","task:158972:statement:0:relation:root.(child-1).t6.a.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"160518","task:160518:statement:0:relation:root.(child).a.setop.b1.read.index_grp1_net_ast","dm_index_n.index_grp1_net_ast","CANDIDATE_ONLY","UNRESOLVED","WRITE_PARTITION_VALUE_MISSING"
"160518","task:160518:statement:0:relation:root.(child-1).sfkh.a.c2.read.index_grp2_cust_astacct_algo_trd_amt_day","dm_index_n.index_grp2_cust_astacct_algo_trd_amt_day","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.read.index_grp2_cust_astacct_tramt_mulplr_mkt_vwap_slip","dm_index_n.index_grp2_cust_astacct_tramt_mulplr_mkt_vwap_slip","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_tramt_mulplr_mkt_strk","dm_index_n.index_grp2_cust_astacct_tramt_mulplr_mkt_strk","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_entr_qty","dm_index_n.index_grp2_cust_astacct_entr_qty","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_trd_qty","dm_index_n.index_grp2_cust_astacct_trd_qty","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_algo_trd_amt_day","dm_index_n.index_grp2_cust_astacct_algo_trd_amt_day","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
